Flow_ID, Lost_Packets, Tx_Packets, Tx_Bytes, TxOffered(Mbps),  Rx_Packets, Rx_Bytes, T_put(Mbps), Mean_Delay_Rx_Packets, Mean_Jitter, Packet_Loss_Ratio
2, 339673, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
6, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
10, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
14, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
18, 339673, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
22, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
26, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
30, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
34, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
38, 339673, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
42, 342538, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
46, 320992, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
50, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
54, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
58, 339673, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
62, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
66, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
70, 339674, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
74, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
78, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
82, 320991, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
86, 339673, 339673, 509509500, 20.3805, 0, 0, 0, 0, 0, 0
